rights
the right to be treated with fairness  respect  and dignity  and to be free from intimidation  harassment  or abuse  throughout the criminal and juvenile justice process and informed of the victim’s constitutional rights  provided by statute 
the right to be reasonably informed when the accused or convicted person is arrested  released from custody or has escaped 
the right to be informed of and present at any criminal proceedings which are dispositive of the charges where the defendant has the right to be present
the right to be reasonably informed of and be allowed to submit either a written or oral statement at all hearings affecting bond or bail
the right to be heard at any proceeding involving a post-arrest release decision  a plea  or sentencing 
the right to be reasonably protected from the accused or persons acting on his behalf throughout the criminal justice process
the right to confer with the prosecution  after the crime against the victim has been charged  before the trial or before any disposition and informed of the disposition 
the right to have reasonable access after the conclusion of the criminal investigation to all documents relating to the crime against the victim before trial
the right to receive prompt and full restitution from the person or persons convicted of the criminal conduct that caused the victim’s loss or injury including both adult and juvenile offenders
the right to be informed of any proceeding when any post-conviction action is being considered  and be present at any post-conviction hearing involving a post-conviction release decision 
the right to a reasonable disposition and prompt and final conclusion of the case
the right to have all rules governing criminal procedure and the admissibility of evidence in all criminal proceedings protect victims’ rights and have these rules subject to amendment or repeal by the legislature to ensure protection of these rights
